LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location
LB-98789,THE UNIVERSITY CLUB OF BOSTON,NULL,,One rear entrance; Private alley in rear; in whole of said building.,11/19/2013 16:18,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,267,THE UNIVERSITY CLUB OF BOSTON,NULL,426,,  Stuart ST,Boston,MA,2116,"(42.3485, -71.07476)"
LB-98790,NORTHEASTERN UNIVERSITY,NULL,,Exits in rear for stock and emergency  in seven rooms on first floor  seven rooms on second floor.,11/26/2013 15:34,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,82,NORTHEASTERN UNIVERSITY,NULL,96,,  Fenway ,Boston,MA,2115,"(42.34185, -71.09126)"
LB-98791,OLD COLONY YACHT CLUB,NULL,The Board granted permission to open on Sundays for brunch with the service of food and alcohol beginning at 10:00 AM.,In whole of said building except basement.  Capacity breakdown: 1st fl - 134  2nd fl - 220.,11/29/2013 16:43,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,354,OLD COLONY YACHT CLUB,NULL,235,,  Victory RD,Dorchester,MA,2122,"(42.2997, -71.0444)"
LB-98794,KNIGHTS OF COLUMBUS BUILDING ASSO.OF ROSLINDALE,NULL,NONE,In whole of said building.  Capacity breakdown: 1st fl - 235 seated; 2nd fl - 90 total (71 seated  19 standing).,11/21/2013 13:19,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,325,KNIGHTS OF COLUMBUS BUILDING ASSO.OF ROSLINDALE,NULL,4192,,  Washington ST,Roslindale,MA,2131,"(42.28727, -71.12699)"
LB-98795,SOUTH BOSTON LITHUANIAN CITIZENS ASSOCIATION,NULL,NONE,Rear door for stock; in whole of said building.,11/25/2013 12:51,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,565,SOUTH BOSTON LITHUANIAN CITIZENS ASSOCIATION,NULL,368,372,W Broadway ,South Boston,MA,2127,"(42.33793, -71.04892)"
LB-98796,BUNKER HILL KNIGHTS OF COLUMBUS BUILDING ASSOCIATION,NULL,NONE,FIRST FLOOR MAIN FUNCTION HALL WITH BATHROOMS  KITCHEN  SERVICE BAR  STORAGE AND MEMBERS BAR AREA WITH MAIN ENTRANCE IN FRONT ON MEDFORD STREET  AND SECOND ENTRANCE EXIT AT REAR OF BUILDING ADJACENT TO MEMBERS BAR AREA.  MEZZANINE LEVEL WITH OFFICES AND CONFERENCE ROOMS. CAPACITY BREAKDOWN: 376 TOTA,11/21/2013 11:50,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,376,BUNKER HILL KNIGHTS OF COLUMBUS BUILDING ASSO.,NULL,545,,  Medford ST,Charlestown,MA,2129,"(42.38393, -71.07064)"
LB-98797,"TAVERN 103, LTD.",NULL,,In whole of said premises; except for small office space.,11/26/2013 11:05,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,824,"TAVERN 103, LTD.",NULL,256,,  Freeport ST,Dorchester,MA,2122,"(42.30355, -71.0528)"
LB-98799,TRUSTEES OF BOSTON UNIVERSITY,NULL,NONE,In whole of said of building.,12/1/2013 0:03,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,280,TRUSTEES OF BOSTON UNIVERSITY,NULL,225,,  Bay State RD,Boston,MA,2215,"(42.350867, -71.103634)"
LB-98800,"ORIENT HEIGHTS YACHT CLUB, INC..",NULL,"Remove restriction #2 from license -#2 ""No further Physical additions""",IN ONE ROOM AND A STORAGE ROOM ON THE FIRST FLOOR; ONE ROOM AND A STORAGE ROOM ON THE SECOND FLOOR.  Capacity breakdown: 1st fl - 110; 2nd fl - 90.,11/13/2013 14:21,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,200,ORIENT HEIGHTS YACHT CLUB,NULL,61,,  Bayswater ST,East Boston,MA,2128,"(42.38405, -71.00466)"
LB-98801,SOMERSET CLUB,NULL,NONE,Two entrances from private alleyway for receiving; In whole of said  building.,11/27/2013 12:00,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,275,SOMERSET CLUB,NULL,41,,  Beacon ST,Boston,MA,2108,"(42.3571, -71.06652)"
LB-98804,"POLISH AMERICAN CITIZENS CLUB OF SOUTH BOSTON,INC.",NULL,,Bulkhead in rear for receiving in whole of said building. Maximum capacity 207 for the 1st floor and 246 for 2nd floor.,11/25/2013 11:45,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,453,"POLISH AMERICAN CITIZENS CLUB OF SOUTH BOSTON, INC",NULL,82,84,  Boston ST,Dorchester,MA,2125,"(42.32662, -71.0583)"
LB-98805,"THE TAVERN CLUB, INC.",NULL,,In whole of said building.  Capacity breakdown: 1st fl - 117; 2nd fl - 113; 3rd fl - 83.,12/2/2013 15:09,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,313,"THE TAVERN CLUB, INC.",(617)338-9682,4,6,  Boylston PL,Boston,MA,2116,"(42.351901, -71.066169)"
LB-98806,NORTHEASTERN UNIVERSITY,NULL,NONE,ONE LARGE ROOM ON THE 6TH FLOOR WITH KITCHEN AND STORAGE IN THE BACK.,11/26/2013 15:32,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,286,NORTHEASTERN UNIVERSITY,NULL,716,,  Columbus AV,Roxbury,MA,2120,"(42.33771, -71.08514)"
LB-98807,"WOODBINE ASSOCIATES, INC.",NULL,Max. 4 nights per week / Sec. Guard outside all func.,Entrance on Park St at front of bldg; Two exits on side wall one exit in rear wall; One fl bldg; lst fl; Large function hall & lounge; Two rms  with kitchen ; Cellar for storage.,11/20/2013 15:34,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,60,"WOODBINE ASSOCIATES, INC.",NULL,57,,  Blue Hill AV,Roxbury,MA,2119,"(42.32329, -71.07665)"
LB-98808,"EAST BOSTON YACHT CLUB,INC.",NULL,,Rear entrance; in whole of said building.  Capacity breakdown: function hall - 100 seated; member area - 49.,11/21/2013 14:25,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,149,"EAST BOSTON YACHT CLUB,INC.",NULL,0,, Rice St,East Boston,MA,2128,"(42.380893, -71.011853)"
LB-98809,"PORT NORFOLK YACHT CLUB,INC.",NULL,PATIO CONDITIONS: A.) 10:30 LAST CALL  - ALL PATRONS OFF PATIO BY 11:00 P.M.  B.) MEMBERS AND GUESTS,179-181 WALNUT STREET  IN WHOLE OF SAID DINING ROOM  KITCHEN ON FIRST FLOOR AND IN WHOLE OF LOCATION ON 2ND FLOOR.  AND TO INCLUDE AN OUTDOOR PATIO ON PRIVATE PROPERTY FOR 25 PATRONS.120 SEATED @ FUNCTION HALL  2'ND FLOOR 27 SEATED.,11/22/2013 14:46,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,120,"PORT NORFOLK YACHT CLUB,INC.",NULL,179,181, Walnut St,Dorchester,MA,2122,"(42.291391, -71.039024)"
LB-98810,"M.W.G.W. CARVER GRAND LODGE,INC.",NULL,,In whole of said building (two floors).,11/20/2013 10:42,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,886,"M.W.G.W. CARVER GRAND LODGE,INC.",NULL,70,80,  Talbot AV,Dorchester,MA,2124,"(42.29396, -71.08371)"
LB-98811,CHILTON CLUB,NULL,NONE,In whole of said building.,11/26/2013 9:22,12/31/2015 0:00,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,572,CHILTON CLUB,(617)266-4860,150,152, Commonwealth Av,Boston,MA,2116,"(42.351524, -71.077811)"
LB-98829,"S.BOSTON POST #6536 VETERANS-FOREIGN WARS/USA,INC.",NULL,No transfer of ownership  Ch 1161 Acts of l973  License originally issued l979,In whole of said building - first floor three rooms; basement for stock.  Capacity breakdown: 252 function hall  35 member area.  5 7 9 11 ELLERY STREET  SOUTH BOSTON  MA  02127,6/9/2014 14:37,12/31/2015 0:00,Active,CLBALV,Clb. All Alc. Vet.,NULL,1:00 AM,1:30 AM,287,"S.BOSTON POST #6536 VETERANS-FOREIGN WARS/USA,INC.",NULL,5,,  Ellery ST,South Boston,MA,2127,"(42.33041, -71.0584)"
LB-98831,"JOHN P. MCKEON POST #146 AMVETS, INC.",NULL,No Restrictions on Transfer (1991),In whole of said building.,12/5/2013 11:43,12/31/2015 0:00,Active,CLBALV,Clb. All Alc. Vet.,NULL,1:00 AM,1:30 AM,705,"JOHN P. MCKEON POST #146 AMVETS, INC",NULL,4,,  Hill Top ST,Dorchester,MA,2124,"(42.28069, -71.04813)"
LB-98835,"MISSION HILL POST #327, AMERICAN LEGION, INC.",NULL,clbal0047 No Transfer of ownership  Ch 1161  Acts of l973  License originally issued 1975,Unnumbered side entrance on Wigglesworth Street; In whole of said building.  CAPACITY BREAKDOWN: MEMBERS' LOUNGE - 90; ASSEMBLY HALL - 126.,12/5/2013 10:20,12/31/2015 0:00,Active,CLBALV,Clb. All Alc. Vet.,NULL,2:00 AM,2:30 AM,216,"MISSION HILL POST #327, AMERICAN LEGION, INC.",NULL,1617,,  Tremont ST,Roxbury,MA,2120,"(42.33383, -71.10309)"
LB-98836,"BOSTON METROPOLITAN POST NO. 1 AMVETS, INC.",NULL,No Transfer of ownership  Ch 1161  Acts of l973  License originally issued 1985,BOSTON METROPOLITAN POST NO. 1 AMVETS  INC. - IN ONE ROOM FIRST FLOOR  ONE ROOM BASEMENT  STORAGE IN BASEMENT. CAPACITY BREAKDOWN: 1st FL - 70; BASEMENT - 29.,12/5/2013 10:05,12/31/2015 0:00,Active,CLBALV,Clb. All Alc. Vet.,NULL,1:00 AM,1:30 AM,99,"BOSTON METROPOLITAN POST NO. 1 AMVETS, INC.",NULL,119,,  Belgrade AV,Roslindale,MA,2131,"(42.28652, -71.13522)"
LB-98837,"ITALIAN AMERICAN WAR VETERANS, INC.",NULL,No Transfer of ownership  Ch 1161  Acts of l973  License originally  issued 1986,In whole of said building.,12/5/2013 10:28,12/31/2015 0:00,Active,CLBALV,Clb. All Alc. Vet.,NULL,1:00 AM,1:30 AM,50,ITALIAN AMERICAN WAR VETS,NULL,60,,  Paris ST,East Boston,MA,2128,"(42.37102, -71.039437)"
LB-98839,"BUILDING ASSOC. ST.MARKS POST #1758 V.F.W.,INC.",NULL,NONE,69 Bailey Street with 228 capacity at assembly  164 capacity at banquet room and 102 capacity in basement and rec. room.,12/5/2013 10:16,12/31/2015 0:00,Active,CLBALV,Clb. All Alc. Vet.,NULL,MIDNIGHT,12:30 AM,228,"BUILDING ASSOC. ST.MARKS POST #1758 V.F.W.,INC.",NULL,63,, Bailey St,Dorchester,MA,2124,"(42.284476, -71.065943)"
LB-98841,WILLIAM E. CARTER POST #16,NULL,NONE,REAR EXIT FACING 83 REGIS ROAD FOR EMERGENCY EXIT AND STOCK  IN WHOLE OF SAID BUILDING.  MAXIMUM CAPACITY 140 FOR STANDING AND 94 FOR SEATING.,12/5/2013 10:25,12/31/2015 0:00,Active,CLBALV,Clb. All Alc. Vet.,NULL,2:00 AM,2:30 AM,140,WILLIAM E. CARTER POST #16,NULL,1531,,  Blue Hill AV,Mattapan,MA,2126,"(42.27152, -71.09401)"
LB-98846,SOUTH BOSTON YACHT CLUB,NULL,,One room first floor; Cellar for stock.  Capacity breakdown: 1st fl - 69 (sun room); 20 (bowling alley); 8 (game area); 3rd fl - scenario 1 (great hall table & chairs) - 80 max; scenario 2 (auditorium style for meetings) - 231.,12/5/2013 11:25,12/31/2015 0:00,Active,CLBMW,Club Malt & Wine,NULL,1:00 AM,1:30 AM,328,SOUTH BOSTON YACHT CLUB,NULL,1849,1849,  Columbia RD,South Boston,MA,2127,"(42.332126, -71.027028)"
LB-98888,THE TWELVE BENS,NULL,1. Food to be available at all times (including Sunday). 2. Second floor to be used for function only. 3. On second floor alcoholic beverage to be served only in conjunction with meals.,In one room on first floor with kitchen  with storage in the basement.  Capacity breakdown: 1st fl - 145; 2nd fl - 140.,11/29/2013 9:19,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,285,THE TWELVE BENS,NULL,315,,  Adams ST,Dorchester,MA,2122,"(42.298605, -71.057578)"
LB-98920,"HLC GROUP ENTERPRISES, LLC",NULL,NONE,IN ONE ROOM ON FIRST FLOOR WITH KITCHEN  STORAGE AND RESTROOMS; ENTRANCE FROM DARTMOUTH STREET AND BUILDING LOBBY; ONE BACK EXIT.,11/15/2013 14:26,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,148,"HLC GROUP ENTERPRISES, LLC",NULL,131,, Dartmouth St,Boston,MA,2116,"(42.34682, -71.07543)"
LB-98975,"MASSACHUSETTS SPORTSERVICE, INC.",NULL,1) IN SEAT SERVICE OF ALL ALCOHOL ALLOWED DURING CELTICS GAMES IN CELTICS COURTSIDE CLUB SEATS ONLY. LICENSING BOARD GRANTED PERMISSION TO PROVIDE BOTTLE SERVICE ON THE PREMISES.,Sports arena with permanent and portable stands located on levels 3-9; preferred seating on level 5; suites on level 5  6  and 9; one or more rooms  service and storage areas at west end of level 2;  restaurant at east end of levels 5 and 6 with kitchen  service and storage areas; bar at east end,11/27/2013 14:29,12/31/2016 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,19058,"MASSACHUSETTS SPORTSERVICE, INC.",NULL,100,,  Legends WY,Boston,MA,2114,"(42.36629, -71.0622)"
LB-98994,"BARRY'S CORNER PROPERTY, LLC",NULL,NONE,Tenant F Space in one room with dining area  bar  kitchen and storage; two (2) entrances/exits with direct access to street level and one (1) entrance/exit from lobby of building occupying 3 771 square feet of space.,12/2/2013 12:18,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,0,"BARRYS CORNER PROPERTY, LLC",(617)247-3434,219,, Western Av,Allston,MA,2134,"(42.364022, -71.130413)"
LB-99025,"SIP WINE BAR AND KITCHEN, INC.",NULL,ALCOHOL CAN BE SERVED WITH BRUNCH STARTING AT 10:00 AM ON SUNDAYS.,IN TWO ROOMS ON THE FIRST FLOOR WITH KITCHEN IN THE REAR AND STORAGE IN THE BASEMENT. INCLUDES A SEASONAL OUTDOOR CAFÉ FOR 72 PATRONS BETWEEN THE HOURS OF NOON - 11:00 P.M.  PREMISES EXPANDED TO INCLUDE 571 WASHINGTON STREET. CAPACITY BREAKDOWN: 111 PERSONS SEATED  52 PERSONS STANDING.,11/27/2013 10:22,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,163,"SIP WINE BAR AND KITCHEN, INC.",NULL,571,581,  Washington ST,Boston,MA,2111,"(42.353531, -71.062736)"
LB-99034,"VAN'S RESTAURANT & BAR, INC.",NULL,Open at 9:00 A.M. on Sundays for the service of food only.,Side entrance for stock delivery on street floor; in one room and kitchen on first floor; cellar for stock.,11/26/2013 15:14,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,75,"VAN'S RESTAURANT & BAR, INC.",NULL,1154,1156, Dorchester Av,Dorchester,MA,2125,"(42.307719, -71.05859)"
LB-99041,"SEAPORT HOSPITALITY, INC.",NULL,PATIO CLOSING HOUR: MIDNIGHT,IN ONE LARGE ROOM ON SECOND FLOOR (LOBBY) OF WESTIN HOTEL WATERFRONT; KITCHEN  STORAGE AND OFFICE ON FIRST FLOOR WITH SEASONAL OUTDOOR SEATING FOR 40 PERSONS ON PRIVATE PROPERTY.,12/1/2013 0:05,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,300,"SEAPORT HOSPITALITY, INC.",NULL,425,,  Summer ST,Boston,MA,2210,"(42.346219, -71.043099)"
LB-99046,"SPORTS CONNECTION BAR & GRILL, INC.",NULL,,Unnumbered side entrance to kitchen on Leeds Street for stock; in one room and kitchen on first floor; cellar for stock.,11/21/2013 10:47,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,99,"SPORTS CONNECTION BAR & GRILL, INC.",NULL,560,,  Dorchester AV,South Boston,MA,2127,"(42.330488, -71.05673)"
LB-99095,"METRO DINING, INC.",NULL,Patio closing hour: 10:00 P.M.,Rear entrance and bulkhead entrance to cellar for stock. In two rooms and kitchen on first floor; cellar for stock. Includes an outdoor seasonal patio on the rear of the premises.,12/2/2013 11:44,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,175,"METRO DINING, INC.",NULL,32,34,  Harvard AV,Allston,MA,2134,"(42.354873, -71.132348)"
LB-99136,"AC NEP, LLC",NULL,NONE,In two levels with one room on each level;  kitchen and storage in basement.,11/14/2013 11:06,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,60,"AC NEP,  LLC",(617)592-5323,367,371,  Neponset AV,Dorchester,MA,2122,"(42.2867, -71.04513)"
LB-99155,"GALLEON VENTURES,  INC.",NULL,,In two rooms and kitchen first floor; cellar for stock.,11/26/2013 12:33,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,99,"GALLEON VENTURES,  INC.",NULL,134,140,  Smith ST,Roxbury,MA,2120,"(42.33471, -71.10204)"
LB-99188,STADIUM RESTAURANT LLC,NULL,10:00 A.M. OPENING ON SUNDAYS FOR THE SERVICE OF ALCOHOL IN CONJUNCTION WITH BRUNCH.,In two rooms and kitchen on first floor; One room and kitchen on the second floor; one room and kitchen and stock room in basement.  Capacity breakdown: 1st fl - 227; 2nd fl (nightclub configuration) - 282/ 2nd fl (tables & chairs) - 222.,11/29/2013 15:48,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,509,STADIUM RESTAURANT LLC,(617)269-5100,232,, Old Colony Av,South Boston,MA,2127,"(42.33218, -71.05325)"
LB-99241,"UMNV 240A NEWBURY, LLC",NULL,1. Patio close at 10:00 PM Sunday thru Thursday and 11:00 PM Friday thru Saturday. 2. Alc. Bev. served at tables in conjunction with menu items ordered at tables  tables in patio after 7:30PM alcoholic to be served with menu items. 3. Deliveries  Newbury Street. 4. Trash stored inside.,In two rooms first floor; One room and kitchen in basement  Storage area in rear of Dining Room Summer Patio Garden directly in front of 240a and 242 Newbury St.,11/27/2013 14:46,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,0,"UMNV 240A NEWBURY, LLC",(617)331-9295,,, Newbury St,Boston,MA,2116,"(42.34946, -71.08224)"
LB-99269,"RESTAURANTE CESARIA, INC.",NULL,1.) ALL PATRONS OFF PREMISES BY 1:00 A.M.  2.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR.,11/27/2013 16:25,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:00 AM,99,"RESTAURANTE CESARIA, INC.",NULL,266,, Bowdoin St,Dorchester,MA,2125,"(42.30692, -71.06667)"
LB-99311,CM DIAMOND IMPORTERS LLC,NULL,NONE,IN ONE (1) LARGE ROOM ON FIRST FLOOR (INCLUDING DINING AREA  TWO (2) BARS AND LOUNGE) WITH KITCHEN IN REAR; PRIVATE DINING ROOM  BAR AND LOUNGE ON GROUND FLOOR/BASEMENT WITH STORAGE IN REAR; AND PRIVATE DINING ROOM ON SECOND FLOOR.  EXIT AND ENTRANCE ON WINTER PLACE  WITH EMERGENCY EXIT TO ALLEY IN,12/2/2013 15:20,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,332,CM DIAMOND IMPORTERS LLC,(978)317-5796,1,4,  Winter PL,Boston,MA,2111,"(42.351846, -71.060822)"
LB-99331,"MASSACHUSETTS SPORTSERVICE, INC.",NULL,NONE,(TD BANKNORTH GARDEN); One or more rooms  service and storage areas  and kitchen at west end of level three.,11/27/2013 14:30,12/31/2016 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,462,"MASSACHUSETTS SPORTSERVICE, INC.",NULL,100,,  Legends WY,Boston,MA,2114,"(42.36629, -71.0622)"
LB-99343,"325, LLC",NULL,123 Persons total.  1st Floor 58 Persons Seated.  25 Persons Standing. 2nd floor 40 Persons seated.,In one room for dining on the first floor  kitchen  small bar area and storage in the rear.  In one room for dining on the second floor  and to include an outdoor seasonal patio from April-October for 25 patrons on private property between the hours of 5:00 p.m.-11:00 p.m. With a 1:00 a.m closing ho,11/27/2013 10:55,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,123,"325, LLC",NULL,81,,  Fairmount AV,Hyde Park,MA,2136,"(42.25459, -71.12019)"
